"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0270"	27	"Khodadad Circle"	7.05	" "	"Vaishali Nagar(Mulund)"	5.50	" "				"Mon-Sat"	2			
"0270"	27	"Worli Depot"	5.30	22.10	"Vaishali Nagar(Mulund)"	6.55	23.45	14	14	12	"Sunday"	4			
"0270"	27	"Worli Depot"	5.30	22.10	"Vaishali Nagar(Mulund)"	6.55	23.45	13	12	12	"Holiday"	4			
"0280"	28	"Swami D.S.Chk."	7.00	10.12	"J.V.P.D.Bus Station"	5.40	8.33	24	25	20	"Mon-Sat"	2			
"0280"	28	"Chh.Shivaji Terminus"	10.34	21.35	"J.V.P.D.Bus Station"	8.52	19.40				"Mon-Sat"	2			
"0280"	28	"Babulnath"	21.40	22.20	"J.V.P.D.Bus Station"	20.01	20.45				"Mon-Sat"	2			
"0280"	28	"Dr.S.P.Mukherji Chowk"	8.30	11.57	"J.V.P.D.Bus Station"	7.10	10.22	20	24	22	"Sun-Hol"	4			
"0280"	28	"Dr.S.P.Mukherji Chowk"	15.07	20.05	"J.V.P.D.Bus Station"	13.32	18.25				"Sun-Hol"	4			
"0280"	28	"Chh.Shivaji Terminus"	12.20	14.43	"J.V.P.D.Bus Station"	10.45	13.08				"Sun-Hol"	4			
"0280"	28	"Pt. Paluskar Chowk"	7.40	8.10	"J.V.P.D.Bus Station"	6.30	6.50				"Sun-Hol"	4			
"0280"	28	"Pt. Paluskar Chowk"	20.30	21.30	"J.V.P.D.Bus Station"	18.47	19.55				"Sun-Hol"	4			
"0301"	"30Ltd"	"Central Depot"	5.45	23.00	"Vikhroli Depot"	6.35	24.15	20	27	27	"Mon-Fri-Hol"	2			
"0301"	"30Ltd"	"Central Depot"	5.45	23.00	"Vikhroli Depot"	6.35	24.15	27	32	28	"Sat-Sun"	3			
"0324"	"32R"	"Goregaon Bus Stn."	6.30	22.00	"Yari Road Bus Station"	7.13	22.53	18	18	17	"Mon-Sat"	2			
"0324"	"32R"	"Goregaon Bus Stn."	6.30	20.30	"Yari Road Bus Station"	7.20	21.30	27	29	23	"Sun-Hol"	4			
"0330"	33	"Pt. Paluskar Chowk"	7.30	23.05	"Goregaon Stn(W)"	6.20	21.10	14	15	13	"Mon-Fri"	2			
"0330"	33	"Worli Depot"	13.34	17.40	"Goregaon Stn(W)"	11.54	16.04				"Mon-Fri"	2			
"0330"	33	"Pt. Paluskar Chowk"	7.30	23.05	"Goregaon Stn(W)"	6.20	21.10	14	15	17	"Saturday"	3			
