"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"1080"	108	"Chh.Shivaji Terminus"	6.30	20.25	"Kamala Nehru Park"	6.55	21.10	12	15	15	"Mon-Sat"	2			
"1080"	108	"Chh.Shivaji Terminus"	" "	21.10	"Walkeshwar"	" "	21.50				"Mon-Sat"	2			
"1080"	108	"Mantralaya"	6.30		"Kamala Nehru Park"						"Mon-Sat"	2			
"1080"	108	"Chh.Shivaji Terminus"	7.35	20.45	"Kamala Nehru Park"	7.50	21.25	18	19	19	"Sunday"	4			
"1080"	108	"Mantralaya"	7.22	" "	"Kamala Nehru Park"						"Sunday"	4			
"1080"	108	"Chh.Shivaji Terminus"	21.10	" "	"Walkeshwar"	" "	21.50				"Sunday"	4			
"1080"	108	"Chh.Shivaji Terminus"	7.40	20.47	"Kamala Nehru Park"	7.00	21.30	17	15	15	"Holiday"	4			
"1080"	108	"Chh.Shivaji Terminus"	21.00	21.15	"Walkeshwar"	21.42	21.55				"Holiday"	4			
"1080"	108	"Mantralaya"	6.40	7.34	"Kamala Nehru Park"						"Holiday"	4			
"1100"	110	"Com.P.K.Kurne Chowk"	6.10	22.00	"Sangam Nagar"	6.00	22.35	8	11	9	"Mon-Fri"	2			
"1100"	110	"Com.P.K.Kurne Chowk"	6.10	22.00	"Sangam Nagar"	6.00	22.35	7	10	9	"Saturday"	3			
"1100"	110	"Com.P.K.Kurne Chowk"	6.35	22.00	"Sangam Nagar"	7.05	22.35	12	10		"Sunday"	4			
"1100"	110	"Com.P.K.Kurne Chowk"	6.35	22.00	"Sangam Nagar"	7.05	22.35	14	16	11	"Holiday"	4			
"1114"	"111R"	"Gateway of India"	6.54	20.28	"Chh.Shivaji Terminus"	6.45	20.15	4	6	5	"Mon-Fri"	2			
"1114"	"111R"	"Gateway of India"	6.54	20.27	"Chh.Shivaji Terminus"	6.45	20.15	5	6	6	"Saturday"	3			
"1114"	"111R"	"Gateway of India"	8.11	19.54	"Chh.Shivaji Terminus"	8.00	20.05	8	8	8	"Holiday"	4			
"1114"	"111R"	"Gateway of India"	11.09	20.50	"Chh.Shivaji Terminus"	11.00	20.40		7	7	"Sunday"	4			
1200	"120"	"Pt. Paluskar Chowk"	9.30	20.35	"Dava Bazar"	9.44	20.51	10	10	11	"Mon-Sat"	2			
"1210"	121	"Backbay Depot"	5.30	21.40	"J.Mehta Marg"	6.05	22.30	11	14	8	"Mon-Fri"	2			
"1210"	121	"Backbay Depot"	5.30	21.40	"J.Mehta Marg"	6.05	22.30	13	12	11	"Saturday"	3			
"1210"	121	"Backbay Depot"	5.55	21.25	"J.Mehta Marg"	6.35	22.25	20	23	21	"Sunday"	4			
"1210"	121	"Backbay Depot"	5.30	21.25	"J.Mehta Marg"	6.10	22.25	15	18	20	"Holiday"	4			
"1220"	122	"Ballard Pier"	7.40	19.45	"J.Mehta Marg"	7.00	18.40	11	15	16	"Mon-Fri"	2			
"1220"	122	"Ballard Pier"	8.37	11.10	"Ahilyabai Holkar Chowk"	8.25	11.30	9			"Mon-Fri"	2			
"1220"	122										"Mon-Fri"	2			
"1220"	122	"Dr.S.P.M.Chowk"	20.05	20.50	"J.Mehta Marg"	18.55	21.30				"Mon-Fri"	2			
"1220"	122	"Ballard Pier"	7.40	19.45	"J.Mehta Marg"	7.00	18.40	15	20	17	"Saturday"	3			
"1220"	122	"Dr.S.P.M.Chowk"	20.15	20.45	"J.Mehta Marg"	19.00	20.45				"Saturday"	3			
"1220"	122	"Ballard Pier"	8.20	19.30	"J.Mehta Marg"	7.30	18.33	19	22	23	"Holiday"	4			
"1220"	122	"Dr.S.P.Mukherji Chowk"	19.53	21.00	"J.Mehta Marg"	18.55	21.35				"Holiday"	4			
"1230"	123	"R.C.Church"	6.20	23.10	"Vasantrao Naik Chowk"	5.40	22.30	13	15	14	"Mon-Sat"	2			
"1230"	123	"R.C.Church"	6.20	23.10	"Vasantrao Naik Chowk"	5.45	22.30	22	18	15	"Sunday"	4			
"1230"	123	"R.C.Church"	6.20	23.10	"Vasantrao Naik Chowk"	5.45	22.30	15	15	16	"Holiday"	4			
"1240"	124	"Colaba Bus Station"	5.10	22.55	"Worli Depot"	5.45	21.20	8	10	11	"Mon-Sat"	2			
"1240"	124	"Dr.S.P.Mukherji Chowk"	22.55	0.20	"Worli Depot"	21.35	23.15				"Mon-Sat"	2			
"1240"	124	"Colaba Bus Station"	5.15	23.25	"Worli Depot"	6.10	22.17	19	19	18	"Sun-Hol"	4			
"1240"	124	"Dr.S.P.Mukherji Chowk"	" "	0.05	"Worli Depot"	" "	23.00	12	12	10	"Sun-Hol"	4			
"1240"	124	"Dr.S.P.M.Chowk"	15.15	21.46	"V.Desai Chk"	15.14	22.26		16	15	"Sun-Hol"	4			
"1250"	125	"Navy Nagar"	7.00	22.40	"Worli Village"	6.05	21.05	28	28	26	"Mon-Fri"	2			
"1250"	125	"Navy Nagar"	7.00	22.30	"Worli Village"	6.05	21.05	24	26	28	"Saturday"	3			
"1250"	125	"Navy Nagar"	7.20	22.10	"Worli Village"	6.15	20.50	22	26	26	"Sun-Hol"	4			
"1260"	126	"Mantralaya"	8.00	20.35	"Jijamata Udyan"	7.05	19.00	20	25	24	"Mon-Sat"	2			
"1260"	126	"Chh.Shivaji Terminus"	7.05	7.41	"Jijamata Udyan"	6.20	6.51				"Mon-Sat"	2			
"1260"	126	"Chh.Shivaji Terminus"	20.53	22.05	"Jijamata Udyan"	19.25	21.40				"Mon-Sat"	2			
"1260"	126	"Chh.Shivaji Terminus"	22.23	22.40	"Mumbai Central Depot"						"Mon-Sat"	2			
"1260"	126	"Mantralaya"	12.25	20.30	"Jijamata Udyan"	11.37	19.25	27	23	25	"Sunday"	4			
"1260"	126	"Chh.Shivaji Terminus"	7.15	12.26	"Jijamata Udyan"	6.20	11.12				"Sunday"	4			
"1260"	126	"Chh.Shivaji Terminus"	20.54	21.40	"Jijamata Udyan"	19.41	21.30				"Sunday"	4			
"1260"	126	"Chh.Shivaji Terminus"	20.32	22.18	"Mumbai Central Depot"						"Sunday"	4			
"1260"	126	"Mantralaya"	7.15	20.25	"Jijamata Udyan"	6.20	19.08	20	24	24	"Holiday"	4			
"1260"	126	"Chh.Shivaji Terminus"	20.58	21.45	"Jijamata Udyan"	19.32	21.35				"Holiday"	4			
"1260"	126	"Chh.Shivaji Terminus"	20.43	22.20	"Mumbai Central Depot"						"Holiday"	4			
"1300"	130	"Dr.S.P.Mukherji Chowk"	6.15	23.05	"Vasantrao Naik Chowk."	5.45	22.25	9	13	12	"Mon-Sat"	2			
"1300"	130	"Dr.S.P.Mukherji Chowk"	6.40	23.05	"Vasantrao Naik Chowk."	6.10	22.25	16	13	13	"Sun-Hol"	4			
"1324"	"132R"	"Colaba Bus Station"	6.00	23.05	"Colaba Bus Stn Via Naik Chowk"	" "		15	20	15	"Mon-Fri"	2			
"1324"	"132R"	"Colaba Bus Station"	6.00	23.05	"Colaba Bus Stn Via Naik Chowk"			13	20	17	"Saturday"	3			
"1324"	"132R"	"Colaba Bus Station"	7.10	22.30	"Colaba Bus Stn Via Naik Chowk"			30	30	33	"Sunday"	4			
"1324"	"132R"	"Colaba Bus Station"	6.00	23.10	"Colaba Bus Stn Via Naik Chowk"	" "		15	17	18	"Holiday"	4			
"1334"	"133R"	"Colaba Bus Station"	6.10	22.00	"Colaba Bus Stn Via Naik Chowk"	" "		15	20	15	"Mon-Fri"	2			
"1334"	"133R"	"Ahilyabai Holkar Chowk"	8.40	11.50	"Colaba Bus Station"	9.05	11.27	20			"Mon-Fri"	2			
"1334"	"133R"	"Colaba Bus Station"	6.30	22.00	"Colaba Bus Stn Via Naik Chowk"	" "	" "	15	14	20	"Saturday"	3			
"1334"	"133R"	"Colaba Bus Station"	7.55	21.15	"Colaba Bus Stn Via Naik Chowk"	" "		30	30	33	"Sunday"	4			
"1334"	"133R"	"Colaba Bus Station"	6.10	22.05	"Colaba Bus Stn Via Naik Chowk"	" "	" "	15	15	17	"Holiday"	4			
"1340"	134	"Backbay Depot"	6.00	21.00	"P.Thakre Udyan"	6.15	21.55	16	19	22	"Mon-Fri"	2			
"1340"	134	"Backbay Depot"	21.23	21.45	"Jijamata Udyan"						"Mon-Fri"	2			
"1340"	134	"Backbay Depot"	6.00	21.00	"P.Thakre Udyan"	6.35	21.55	16	19	22	"Saturday"	3			
"1340"	134	"Backbay Depot"	21.23	21.45	"Jijamata Udyan"						"Saturday"	3			
"1340"	134	"Backbay Depot"	7.25	21.10	"P.Thakre Udyan"	7.10	21.05	24	25	27	"Sunday"	4			
"1340"	134	"Backbay Depot"	6.15	21.05	"P.Thakre Udyan"	6.35	21.20	20	22	23	"Holiday"	4			
"1350"	135	"Ferry Wharf"	6.20	21.15	"J.Mehta Marg"	6.00	20.20	11	13	13	"Mon-Sat"	2			
"1350"	135	"Mazgaon Dock"	21.28	0.05	"J.Mehta Marg"	20.40	23.50				"Mon-Sat"	2			
"1350"	135	"Ferry Wharf"	6.15	21.00	"J.Mehta Marg"	6.35	20.05	12	15	16	"Sunday"	4			
"1350"	135	"Mazgaon Dock"	21.10	24.08	"J.Mehta Marg"	20.25	24.00				"Sunday"	4			
"1350"	135	"Ferry Wharf"	6.08	21.00	"J.Mehta Marg"	6.20	20.08	13	16	16	"Holiday"	4			
"1350"	135	"Mazgaon Dock"	21.12	0.05	"J.Mehta Marg"	20.25	0.05				"Holiday"	4			
"1374"	"137R"	"Navy Nagar"	6.53	22.50	"Ahilyabai Holkar Chowk"			7	9	8	"Mon-Sat"	2			
"1374"	"137R"	"Navy Nagar"	6.30	22.50	"Ahilyabai Holkar Chowk"			19	13	18	"Sunday"	4			
"1374"	"137R"	"Navy Nagar"	6.30	22.50	"Ahilyabai Holkar Chowk"	6.22		11	12	12	"Holiday"	4			
"1380"	138	"Backbay Depot"	5.40	" "	"Chh.Shivaji Terminus"	6.05	23.55	5	6	4	"Mon-Fri"	2			
"1380"	138			23.30	"Chh.Shivaji Terminus"						"Mon-Fri"	2			
"1380"	138	"Backbay Depot"	5.40	" "	"Chh.Shivaji Terminus"	6.05	" "	5	5	4	"Saturday"	3			
"1380"	138			23.30	"Chh.Shivaji Terminus"		23.55				"Saturday"	3			
"1380"	138	"Backbay Depot"	5.40	23.20	"Chh.Shivaji Terminus"	6.05	23.45	9	6	6	"Sunday"	4			
"1380"	138	"Backbay Depot"	5.40	23.20	"Chh.Shivaji Terminus"	6.05	23.45	6	6	7	"Holiday"	4			
"1510"	151	"J.Mehta Marg"	6.40	9.43	"Kabutarkhana(Dadar-W)"	7.10	10.33	14	12		"Mon-Fri"	2			
"1510"	151	"J.Mehta Marg"	9.52	21.50	"Wadala Depot"	6.00	18.23				"Mon-Fri"	2			
"1510"	151	"J.Mehta Marg"	17.23	19.35	"Veer Kotwal Udyan"	18.32	20.44				"Mon-Fri"	2			
"1510"	151	"J.Mehta Marg"	6.40	9.40	"Kabutarkhana(Dadar-W)"	7.10	10.20	10	16	14	"Sat-Hol"	3			
"1510"	151	"J.Mehta Marg"	9.10	21.50	"Wadala Depot"	6.00	18.21				"Sat-Hol"	3			
"1510"	151	"J.Mehta Marg"	10.57	19.33	"Veer Kotwal Udyan"	11.55	20.42				"Sat-Hol"	3			
"1540"	154	"Byculla Station(W)"	6.25	23.00	"N.S.C.I.(Worli)"	6.42	22.38	4	7	4	"Mon-Fri"	2			
"1540"	154	"Byculla Station(W)"	6.25	23.00	"N.S.C.I.(Worli)"	6.42	22.38	6	8	7	"Saturday"	3			
"1540"	154	"Byculla Station(W)"	6.45	23.00	"N.S.C.I.(Worli)"	7.02	22.36	14	16	10	"Sunday"	4			
"1540"	154	"Byculla Station(W)"	6.45	23.00	"N.S.C.I.(Worli)"	7.02	22.40	6	8	7	"Holiday"	4			
"1554"	"155R"	"Grant Road Station(W)"	6.00	23.15	"Via Jaslok Hospital"			7	3	5	"Mon-Fri"	2			
"1554"	"155R"	"Grant Road Station(W)"	6.00	23.15	"Via Jaslok Hospital"			7	5	7	"Saturday"	3			
"1554"	"155R"	"Grant Road Station(W)"	6.10	22.55	"Via Jaslok Hospital"			8	8	9	"Sunday"	4			
"1554"	"155R"	"Grant Road Station(W)"	6.10	22.55	"Via Jaslok Hospital"			5	7	6	"Holiday"	4			
"1560"	156	"Byculla Stn(W)"	6.55	20.20	"Via Simla House"	6.30	21.00	17	22	18	"Mon-Sat"	2			
"1560"	156	"Byculla Stn(W)"	6.55	20.20	"Via Simla House"	6.30	21.00	13	18	16	"Holiday"	4			
"1560"	156	"Byculla Stn(W)"	7.00	20.20	"Via Simla House"	7.00	21.00	21	27	22	"Sunday"	4			
"1574"	"157R"	"Grant Road Station(W)"	6.30	21.05	"Via Bhulabhai Desai Road"		" "	22	15	22	"Mon-Sat"	2			
1580	158	"Byculla Station(W)"	6.00	21.30	"Ram Ganesh Gadkari Chk"	6.30	20.45	21	29	24	"All Days"	1			
"1600"	160	"P.T.Udyan"	11.45	22.25	"Veer Kotwal Udyan"	12.17	22.35	" "	17	20	"Mon-Fri"	2			
"1600"	160	"P.T.Udyan"	11.25	22.10	"Veer Kotwal Udyan"	11.57	22.18	" "	17	20	"Sat-Sun-Hol"	3			
"1610"	161	"Worli Depot"	6.05	20.40	"Nadkarni Park"	6.20	21.10	26	26	27	"Mon-Sat"	2			
"1610"	161	"Worli Depot"	7.00	20.30	"Nadkarni Park"	7.25	21.15	29	23	23	"Sun-Hol"	4			
"1620"	162	"P.Thakre Udyan"	6.05	24.35	"Worli Village"	5.40	24.10	7	7	8	"Mon-Fri"	2			
"1620"	162	"P.Thakre Udyan"	6.05	24.35	"Worli Village"	5.40	24.10	8	9	9	"Saturday"	3			
"1620"	162	"P.Thakre Udyan"	6.05	24.30	"Worli Village"	5.40	24.05	6	8	6	"Sunday"	4			
"1620"	162	"P.Thakre Udyan"	6.05	24.35	"Worli Village"	5.40	24.10	6	7	9	"Holiday"	4			
"1630"	163	"Worli Depot"	3.00	21.20	"P.Thakre Udyan"	7.00	21.50	21	24	21	"Mon-Sat-Hol"	2			
"1640"	164	"M.P.Chowk(Mazgaon)"	7.45	22.25	"Dharavi Depot"	6.35	21.05	23	22	24	"Mon-Sat"	2			
"1640"	164	"Ambika Mills Bus Station"	6.50	7.10	"Dharavi Depot"	6.05	6.25				"Mon-Sat"	2			
"1640"	164	"M.P.Chowk(Mazgaon)"	8.00	22.15	"Dharavi Depot"	6.50	21.05	35	28	29	"Sun-Hol"	4			
"1650"	165	"Kasturba Gandhi Chowk"	5.20	0.40	"Dharavi Depot"	4.20	23.40	17	13	13	"Mon-Sat-Hol"	2			
"1650"	165	"Kasturba Gandhi Chowk"	5.15	0.40	"Dharavi Depot"	4.20	23.40	16	20	17	"Sunday"	4			
"1660"	166	"Mumbai Central Depot"	5.20	22.05	"Antop Hill"	6.20	21.40	18	22	19	"All Days"	1			
"1674"	"167R"	"Com.P.K.Kurne Chk."	6.00	23.10	"Elphinstone Rly.Stn.(W)"	6.08	23.19	3	6	3	"Mon-Fri"	2			
"1674"	"167R"	"Com.P.K.Kurne Chk."	6.00	23.10	"Elphinstone Rly.Stn.(W)"	6.08	23.18	4	6	5	"Saturday"	3			
"1674"	"167R"	"Com.P.K.Kurne Chk."	6.00	23.10	"Elphinstone Rly.Stn.(W)"	6.08	23.19	5	7	6	"Holiday"	4			
"1674"	"167R"	"Com.P.K.Kurne Chk."	6.00	23.05	"Elphinstone Rly.Stn.(W)"	6.08	23.13	6	6	6	"Sunday"	4			
"1680"	168	"Lal Bahadur Shastri College"	6.05	23.50	"Wadala Depot"	5.27	23.00	10	12	10	"Mon-Fri"	2			
"1680"	168	"Lal Bahadur Shastri College"	6.05	23.50	"Wadala Depot"	5.25	23.00	13	17	13	"Saturday"	3			
"1680"	168	"Lal Bahadur Shastri College"	6.12	23.50	"Wadala Depot"	5.27	23.00	16	14	14	"Sunday"	4			
"1680"	168	"Lal Bahadur Shastri College"	5.50	24.10	"Wadala Depot"	5.10	23.15	16	14	14	"Holiday"	4			
"1690"	169	"Worli Village"	7.40	20.45	"Veer Kotwal Udyan"	8.00	21.05	21	21	26	"All Days"	1			
"1690"	169	"Worli Village"	5.30	23.30	"Prateeksha Nagar Depot"	4.50	22.45	12	12	13	"Mon-Sat"	2			
"1690"	169	"Worli Village"	5.30	24.00	"Prateeksha Nagar Depot"	4.50	23.15	12	10	10	"Sun-Hol"	4			
"1700"	170	"Antop Hill Extn."	6.00	20.25	"Rani Laxmi Chowk"	6.19	20.01	6	10	7	"Mon-Sat"	2			
"1700"	170	"Antop Hill"	20.40	22.50	"Rani Laxmi Chowk"	20.09	23.05	6	10	7	"Mon-Sat"	2			
"1700"	170	"Antop Hill Extn."	6.00	20.25	"Rani Laxmi Chowk"	6.19	20.01	6	10	7	"Sun-Hol"	4			
"1700"	170	"Antop Hill"	20.40	22.50	"Rani Laxmi Chowk"	20.09	23.05	6	10	7	"Sun-Hol"	4			
"1710"	171	"Worli Dairy"	6.20	21.15	"Antop Hill"	6.25	20.05	16	17	20	"Mon-Sat"	2			
"1710"	171	"Worli Dairy"	9.08	10.50	"Veer Kotwal Udyan"	8.35	11.20				"Mon-Sat"	2			
"1710"	171	"Veer Kotwal Udyan"	17.35	21.02	"Antop Hill"	18.09	21.33				"Mon-Sat"	2			
"1710"	171	"Com.P.K.Kurne Chk."	21.45	22.50	"Antop Hill"	20.24	23.33				"Mon-Sat"	2			
"1710"	171	"Worli Dairy"	7.05	21.15	"Antop Hill"	8.00	20.57	11	14	11	"Sun-Hol"	4			
"1710"	171	"Com.P.K.Kurne Chowk"	21.55	23.00	"Antop Hill"	21.14	23.40				"Sun-Hol"	4			
"1720"	172	"S.G.M.Chowk"	6.00	0.30	"Prateeksha Nagar Depot"	5.15	23.40	8	10	8	"Mon-Sat"	2			
"1720"	172	"Com.P.K.Kurne Chk."	8.50	22.23	"C.G.S.Dispensary"	8.00	21.10	12	" "		"Mon-Sat"	2			
"1720"	172	"S.G.M.Chowk"	6.25	0.35	"Prateeksha Nagar Depot"	5.30	23.40	9	9	9	"Sun-Hol"	4			
"1720"	172	"Veer Kotwal Udyan"	16.52	22.10	"Prateeksha Nagar Depot"	16.20	21.40			15	"Sun-Hol"	4			
"1734"	"173R"	"Rani Laxmibai Chowk"	6.30	20.55	"90feet Road Dharavi"	6.39	21.08	10	15	15	"Mon-Sat-Hol"	2			
"1734"	"173R"	"Rani Laxmibai Chowk"	6.30	20.55	"90feet Road Dharavi"	6.39	21.08	22	30	30	"Sunday"	4			
"1740"	174	"Wadala Depot"	6.10	7.38	"Bharani Naka"	6.30	7.00	8	11	8	"Mon-Sat-Hol"	2			
"1740"	174	"Wadala Depot"	11.36	16.11	"Bharani Naka"	11.07	15.41				"Mon-Sat-Hol"	2			
"1740"	174	"Wadala Depot"	20.49	23.00	"Bharani Naka"	20.07	23.20				"Mon-Sat-Hol"	2			
"1740"	174	"Veer Kotwal Udyan"	7.40	11.15	"Bharani Naka"	7.12	11.00				"Mon-Sat-Hol"	2			
"1740"	174	"Veer Kotwal Udyan"	16.20	20.30	"Bharani Naka"	15.52	20.00				"Mon-Sat-Hol"	2			
"1740"	174	"Wadala Depot"	6.15	7.45	"Bharani Naka"	6.30	7.18	11	11	10	"Sunday"	4			
"1740"	174	"Wadala Depot"	11.09	16.15	"Bharani Naka"	10.40	15.35				"Sunday"	4			
"1740"	174	"Wadala Depot"	20.50	23.00	"Bharani Naka"	20.07	23.16				"Sunday"	4			
"1740"	174	"Veer Kotwal Udyan"	7.55	10.59	"Bharani Naka"	7.27	10.30				"Sunday"	4			
"1740"	174	"Veer Kotwal Udyan"	16.20	20.25	"Bharani Naka"	15.48	19.56				"Sunday"	4			
1754	"175R"	"Veer Kotwal Udyan"	6.55	21.33	"Rani Laxmi Chowk"	6.35	21.00	15	23	25	"Mon-Fri"	2			
1754	"175R"	"Veer Kotwal Udyan"	6.55	21.23	"Rani Laxmi Chowk"	6.35	20.50	14	23	19	"Sat-Sun-Hol"	3			
"1800"	180	"Rani Laxmi Chowk"	6.20		"Chh.Shivaji Int.Air-Port"	6.55					"All Days"	1			
"1800"	180		14.20	21.20		14.55	21.55				"All Days"	1			
"1800"	180	"Rani Laxmi Chowk"	6.10	23.35	"Malvani Depot"	5.00	22.05	20	21	21	"Mon-Sat"	2			
"1800"	180	"Rani Laxmi Chowk"	6.20	20.37	"Malvani Depot"	7.45	22.25	24	21	33	"Mon-Sat"	2			
"1800"	180	"Rani Laxmi Chowk"	6.20	23.15	"Malvani Depot"	5.00	21.40	15	10	20	"Sun-Hol"	4			
"1800"	180	"Rani Laxmi Chowk"	6.10	20.54	"Malvani Depot"	7.27	22.30	29	30	25	"Sun-Hol"	4			
"1810"	181	"Antop Hill Extn."	7.25	21.05	"SEEPZ Bus Stn."	7.30	19.23	13	19	15	"Mon-Sat"	2			
"1810"	181	"Antop Hill"	7.00	21.15	"SEEPZ Bus Stn."	19.38	22.20				"Mon-Sat"	2			
"1810"	181	"Antop Hill Extn."	7.32	20.30	"B.K.C.Complex"	8.05	21.15	35	46	47	"Mon-Sat"	2			
"1810"	181	"Antop Hill Extn."	7.30	20.25	"SEEPZ Bus Stn."	8.15	18.55	23	28	23	"Sun-Hol"	4			
"1810"	181	"Antop Hill"	20.47	21.10	"SEEPZ Bus Stn"	19.17	22.20				"Sun-Hol"	4			
"1840"	184	"Agarkar Chowk"	7.00	21.10	"Marol Maroshi Bus Stn."	7.25	21.15	20		21	"Mon-Sat-Hol"	2			
"1850"	185	"Kannamwar Nagar No.2"	5.45	22.10	"Vishal Hall (Andheri E)"	6.00	21.15	15	24	24	"Mon-Fri"	2			
"1850"	185	"Kannamwar Nagar No.3"	5.45	22.10	"Vishal Hall (Andheri E)"	6.00	21.20	22	22	24	"Sat-Hol"	3			
"1850"	185	"Kannamwar Nagar No.2"	6.30	22.10	"Vishal Hall (Andheri E)"	6.00	21.10	27	26	26	"Sunday"	4			
"1860"	186	"Agarkar Chowk"	6.15	23.40	"Vihar Lake"	5.45	23.30	11	10	14	"Mon-Sat"	2			
"1860"	186	"Agarkar Chowk"	6.15	22.45	"Vihar Lake"	5.45	23.20	18	21	16	"Sunday"	4			
"1860"	186	"Agarkar Chowk"	6.15	22.45	"Vihar Lake"	5.45	23.20	13	20	18	"Holiday"	4			
"2000"	200	"Jijamata Udyan"	6.50	21.35	"Santacruz Depot"	5.55	21.20	33	40	40	"Mon-Sat"	2			
"2000"	200	"Jijamata Udyan"	6.50	22.00	"Santacruz Depot"	5.55	21.15	28	37	37	"Sun-Hol"	4			
"2010"	201	"P.Thakre Udyan"	6.35	12.45	"Goregaon Bus Station(W)"	5.30	20.55	7	7	" "	"Mon-Sat"	2			
"2010"	201	"Veer Kotwal Udyan"	12.41	22.55	"Goregaon Bus Station(W)"	11.11	22.00	" "	17	17	"Mon-Sat"	2			
"2010"	201	"P.Thakre Udyan"	6.55	11.35	"Goregaon Bus Station(W)"	5.45	10.05	15	14	15	"Sun-Hol"	4			
"2010"	201	"Veer Kotwal Udyan"	11.35	22.48	"Goregaon Bus Station(W)"	10.19	21.45	14	14	15	"Sun-Hol"	4			
"2010"	201	"Juhu Beach"	16.40	21.55	"Poisar Depot"	15.10	20.21				"Sun-Hol"	4			
"2010"	201	"Juhu Beach"	19.40	20.28	"Borivli Stn(w)"						"Sun-Hol"	4			
"2021"	"202Ltd"	"Mahim Bus Station."	6.40	23.30	"Gorai Depot"	5.40	22.00	19	23	17	"Mon-Sat"	2			
"2021"	"202Ltd"	"Mahim Bus Station."	7.15	23.30	"Gorai Depot"	6.00	22.00	26	23	23	"Sunday"	4			
"2021"	"202Ltd"	"Mahim Bus Station."	6.50	23.30	"Gorai Depot"	5.40	22.00	26	23	23	"Holiday"	4			
"2030"	203	"Juhu Beach"	" "	9.55	"Dahisar Bridge"	"  "	" "	12	17	18	"Mon-Sat"	2			
"2030"	203	"Jogeshwari Bus Station"	10.20	21.25	"Dahisar Bridge"	8.47	22.40				"Mon-Sat"	2			
"2030"	203	"Jogeshwari Bus Station"	21.40	22.55	"Borivli Bus Station(W)"	22.42	23.57				"Mon-Sat"	2			
"2030"	203	"Juhu Beach"	7.00	8.20	"Dahisar Bridge"	5.35	10.02	19	13	12	"Mon-Sat"	2			
"2030"	203	"Juhu Beach"	8.40	22.50	"Poisar Depot"	10.20	21.20	19	13		"Mon-Sat"	2			
"2030"	203	"Juhu Beach"	7.00	21.35	"Dahisar Bridge"	6.10	21.15	19	19	20	"Sun-Hol"	4			
"2030"	203	"Juhu Beach"	16.40	22.45	"Borivli Stn(w)"	15.10	20.25			26	"Sun-Hol"	4			
"2044"	"204R"	"Goregaon Bus Station(W)"	6.05	21.30	"Dahisar Bridge Via Gomant Nagar"	6.35	22.52	10	10	12	"Mon-Sat"	2			
"2044"	"204R"	"Goregaon Bus Station(W)"	6.55	21.10	"Dahisar Bridge Via Gomant Nagar"	7.40	22.05	18	16	18	"Sunday"	4			
"2054"	"205R"	"Jogeshwari Bus Station"	5.40	23.20	"Gomant Nagar"	6.30	21.40	14	17	16	"Mon-Sat"	2			
"2054"	"205R"	"Goregaon Depot"			"Gomant Nagar"	21.55	24.05				"Mon-Sat"	2			
"2054"	"205R"	"Jogeshwari Bus Station"	5.50	23.05	"Gomant Nagar"	6.35	22.05	12	11	13	"Sunday"	4			
"2054"	"205R"	"Jogeshwari Bus Station"	5.45	23.15	"Gomant Nagar"	6.35	22.10	12	12	12	"Holiday"	4			
"2060"	206	"Poisar Depot "	5.42	23.05	"I.C.Colony"	6.00	23.25	10	12	13	"Mon-Fri"	2			
"2060"	206	"Poisar Depot "	5.42	23.05	"I.C.Colony"	6.00	23.25	16	18	17	"Saturday"	3			
"2060"	206	"Poisar Depot "	7.00	23.00	"I.C.Colony"	7.20	23.20	19	18	13	"Holiday"	4			
"2060"	206	"Poisar Depot "	7.00	23.00	"I.C.Colony"	7.20	23.20	29	27	23	"Sunday"	4			
"2070"	207	"Gaikwad Nagar"	5.15	22.15	"Dahisar Bus Station"	6.05	23.15	14	10	8	"Mon-Sat"	2			
"2070"	207	"Gaikwad Nagar"	11.09	15.59	"Dahisar Bridge"	12.06	16.56	15	16		"Mon-Sat"	2			
"2070"	207	"Gaikwad Nagar"	5.50	22.20	"Dahisar Bridge"	6.40	23.20	8	9	12	"Sunday"	4			
"2070"	207	"Gaikwad Nagar"	5.50	22.20	"Dahisar Bus Station"	6.40	23.20	8	9	8	"Holiday"	4			
"2080"	208	"Borivli Bus Station(W)"	6.00	22.40	"Ashish Complex"	6.00	22.55	12	10	9	"Mon-Sat"	2			
"2080"	208		6.39	9.55	"Sarswati Complex"	6.55	11.20				"Mon-Sat"	2			
"2080"	208		17.03	20.57	"Sarswati Complex"	17.29	21.20				"Mon-Sat"	2			
"2080"	208	"Borivli Bus Station(W)"	6.00	22.40	"Ashish Complex"	6.00	22.55	15	22	15	"Sun-Hol"	4			
"2080"	208	"Borivli Bus Station(W)"	6.50	9.52	"Sarswati Complex"	7.07	10.13				"Sun-Hol"	4			
"2080"	208	"Borivli Bus Station(W)"	17.07	20.12	"Sarswati Complex"	17.33	20.40				"Sun-Hol"	4			
"2094"	"209R"	"Samata Nagar"	6.28	23.00	"Sudhindra Nagar"	6.00	22.18	12	15	11	"Mon-Sat"	2			
"2094"	"209R"	"Borivli Station(E)"	22.30	23.55	"Sudhindra Nagar"	22.03	24.15	" "	" "	" "	"Mon-Sat"	2			
"2094"	"209R"	"Samata Nagar"	6.31	22.30	"Sudhindra Nagar"	7.02	21.55	17	14	16	"Holiday"	4			
