RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
						Colaba Bus Station			Antop Hill	6.05	6.25	21.2												
						Colaba Depot	5.35	6.15	Nadkarni Park	18.51	22.05	23.4												
						Colaba Depot	5.10	5.25	Antop Hill	22.28	23.40													
							20.53	22.25																
10Ltd	7	7	7	SD	GKD	Hutatma Chowk	7.00	22.15	Ghatkopar Depot	5.50	20.25	26.1	85	110	115	120	22	23	34	34	35	Ghatkopar Depot	 ---	MS
	7	7	8	SD	GKD	Hutatma Chowk	8.20	22.10	Ghatkopar Depot	7.00	20.35	26.1	75	85	90	95		23	25	24	24	Ghatkopar Depot	 ---	SH
11Ltd	9	8	9	SD	DH	Navy Nagar	8.15	20.30	Bandra Colony Bus Stn	7.00	18.35	22.3	70	95	105	110	15	20	25	23	22	Bandra Colony Bus Station	20	MF&HOL
						Chh.Shivaji Terminus	7.30	8.00	Bandra Colony Bus Stn	6.30	6.45	16.8	50	75	105		 	 	 					
						Chh.Shivaji Terminus	20.20	21.50	Bandra Colony Bus Stn	18.59	20.30	16.8												
	8	8	8	SD	DH	Navy Nagar	8.15	20.35	Bandra Colony Bus Stn	7.00	18.49		70	90	105	110	15	20	28	25	25	Bandra Colony Bus Station	20	SAT
						Chh.Shivaji Terminus	7.30	8.00	Bandra Colony Bus Stn	6.30	6.45		50	75										
						Chh.Shivaji Terminus	20.35	21.50	Bandra Colony Bus Stn	19.14	20.30													
	7	7	8	SD	DH	Navy Nagar	9.25	21.25	Bandra Colony Bus Stn	8.15	21.05	22.3	55	83	89		 --	22	25	22	23	Bandra Colony Bus Station	20	SUN
						Navy Nagar	21.48	22.35	Dharavi Depot			20.0												
						Chh.Shivaji Terminus	8.10	8.55	Bandra Colony Bus Stn	7.15	7.55	16.8												
14	13	12	13	SD	PR	Dr.S.P.Mukherji Chowk	7.30	22.10	Prateeksha Nagar Depot	6.15	20.30	21.2	70	98	108		15	12	17	14	16	Prateeksha Nagar Depot	 ---	MS
	12	12	12	SD	PR	Dr.S.P.Mukherji Chowk	7.50	22.15	Prateeksha Nagar Depot	6.35	20.45	21.2	70	85	90		22	23	20	21	30	Prateeksha Nagar Depot	 ---	HOL
	10	12	12	SD	PR	Dr.S.P.Mukherji Chowk	8.20	22.20	Prateeksha Nagar Depot	7.05	20.50	21.2	70	85	90		15	18	15	15	15	Prateeksha Nagar Depot	 ---	SUN
15	17	17	17	SD	PR	Mantralaya	8.30	22.45	Prateeksha Nagar Depot	7.10	21.20	22.3	65	105	110		20	12	12	14	15	Prateeksha Nagar Depot	 ---	MS
						Vasudeo B. Phadke Chowk	6.30	6.55	Prateeksha Nagar Depot	5.45	6.10	16.3	50	105	110									
						Vasudeo B. Phadke Chowk	5.50		Prateeksha Nagar Depot	5.20														
						Hutatma Chowk	7.20	8.00	Prateeksha Nagar Depot	6.30	6.50	17.5	90	95	90		 	 	 					
						Hutatma Chowk	23.05	24.10	Prateeksha Nagar Depot	21.45	23.00	17.5												
	12	13	15	SD	PR	Vasudeo B. Phadke Chowk	6.25	6.45	Prateeksha Nagar Depot	5.45	6.05	16.3	55	80	85		12	16	13	13	20	Prateeksha Nagar Depot	 ---	SH
						Hutatma Chowk	7.25	8.50	Prateeksha Nagar Depot	6.25	7.25	17.5												
						Mantralaya	8.55	21.00	Prateeksha Nagar Depot	7.37	19.26	21.3	75	90	95									
						Hutatma Chowk	21.10	23.15	Prateeksha Nagar Depot	19.40	22.05	17.5												
16Ltd	5	4	5	SD	WD	Wadala Depot	5.40	21.45	SRA Vashi NaKa	6.30	22.40	15.6	50	55	60		26	23	29	25	25	Wadala Depot	 --	FW
17Ltd	8	6	8	SD	BB	Backbay Depot	6.00	22.00	Vidyavihar Bus Stn	7.30	23.35	26.7	85	95	100	105	23	25	26	27	27	Backbay Depot	 ---	MS
	7	7	8	SD	BB	Backbay Depot	6.00	22.00	Vidyavihar Bus Stn	7.30	23.35	26.7	85	90	95		26	27	27	25	25	Backbay Depot	 ---	HOL
19Ltd	7	7	14	SD	SHD	Mantralaya	9.00	21.05	Shivaji Nagar Bus Station	7.30	19.35	26.3	85		90			25	13	13		Shivaji Nagar Bus Station	  --	MS
 	8	0	0	SD	SHD	Mantralaya	9.10	12.05	Dr.Ambedkar Udyan	8.00	11.00	21.2	65	62			 	15	20	 ---	 ---	Dr.Ambedkar Udyan	25	 
	10	10	10	SD	SHD	Mantralaya	9.20	21.05	Shivaji Nagar Bus Station	7.50	19.35	26.3	85		90			18	18	18		Shivaji Nagar Bus Station	 --	SH
20Ltd	6	6	6	SD	SHD	Shivaji Nagar Depot	7.30	19.50	Dr.S.P.M.Chk.	9.05	21.50	26.9	90	100	105		 	30	32	33		Shivaji Nagar Depot	 --	MS
	6	6	6	SD	SHD	Shivaji Nagar Depot	7.30	19.40	Dr.S.P.M.Chk.	9.00	21.20	26.9	 	90	95		 	27	32	33		Shivaji Nagar Depot	 --	SH
21Ltd	9	7	9	SD	DNR	Dr.S.P.Mukherji Chowk	6.30	11.58	Trombay	5.30	10.15	25.7	70	100	120	 	17	24	25	27	30	Deonar Depot 	 ---	MS
						Jijamata Udyan	11.54	16.05	Trombay	10.34	14.45	18.9												
						Dr.S.P.Mukherji Chowk	15.50	21.30	Trombay	15.08	20.30	25.7												
						Dr.S.P.Mukherji Chowk	21.50	22.10	Anushakti Nagar			22.6												
	9	10	11	SD	DNR	Dr.S.P.Mukherji Chowk	6.30	21.45	Trombay	5.30	20.20	25.7	55	85			17	20	16	17	15	Deonar Depot	 ---	SH
22Ltd	7	7	7	SD	MLD	Chh.Shivaji Terminus	6.50	23.00	Marol Maroshi Bus Station	5.45	21.30	22.8	110	115	120	 	19	28	30	 	 	Marol Depot	---	MS
	7	7	7	SD	MLD	Chh.Shivaji Terminus	7.05	22.40	Marol Maroshi Bus Station	6.00	21.20	22.8	70	85	95		22	26	28	 	 	Marol Depot	---	SH
	8	8	8	SD	CD	Electric House	5.55	21.15	Marol Maroshi Bus Station	7.10	23.00	25.7	110	115	120	120	19	30	30	 		Electric House	 ---	MS
	7	7	7	SD	CD	Electric House	6.00	20.50	Marol Maroshi Bus Station	7.15	22.20	25.7	70	85	95		22	26	28	 		Electric House	---	SH
25Ltd	11	10	12	SD	BB	Backbay Depot	5.00	20.30	Vihar Lake	5.55	22.45	30.5	60	110	130		25	19	19	23	25	Backbay Depot 	 ---	MF
	11	10	11	SD	BB	Backbay Depot	5.00	20.30	Vihar Lake	5.55	22.25	30.5	60	110			25	21	21	20	24	Backbay Depot 	 ---	SAT
	11	9	11	SD	BB	Backbay Depot 	5.20	20.35	Vihar Lake	6.15	22.20	30.5	50	80	95	100	15	18	22	23	19	Backbay Depot 	 ---	SUN
	11	9	11	SD	BB	Backbay Depot	5.20	20.30	Vihar Lake	6.15	22.20	30.5	70	95	100		14	16	17	18	18	Backbay Depot 	 ---	HOL
27	18	16	18	SD	WLD	Worli Depot	5.00	22.15	Vaishali Nagar(Mulund)	6.20	24.00	32.2	75	100	115	125	12	12	14	15	16	Worli Depot 	 ---	MF
				SD	MUL	Khodadad Circle	7.05	 	Vaishali Nagar(Mulund)	5.50	 	23.7												
	14	15	18	SD	WLD	Worli Depot	5.30	22.10	Vaishali Nagar(Mulund)	6.55	23.45	32.2	80	93	105		14	14	14	12	12	Worli Depot 	 ---	SUN
	15	16	18	SD	WLD	Worli Depot	5.30	22.10	Vaishali Nagar(Mulund)	6.55	23.45	32.2	80	93	105		16	13	12	12	15	Worli Depot 	 ---	HOL
28	10	9	11	SD	SD	Swami D.S.Chk.	7.00	10.12	J.V.P.D.Bus Station	5.40	8.33	24.5	75	105	110		15	24	25	20	21	J.V.P.D.Bus Station	20	MS
						Chh.Shivaji Terminus	10.34	21.35	J.V.P.D.Bus Station	8.52	19.40	23.7												
						Babulnath	21.40	22.20	J.V.P.D.Bus Station	20.01	20.45	20.1												
