RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
282	5	4	5	SD	DIN	Kandivli Bus Station(E)	4.30	0.45	Damu Nagar Extn	4.43	0.45	3.8	13	17	18	20	10	6	7	9	8	Kandivli Bus Station(E)	25	MS
	4	3	4	SD	DIN	Kandivli Bus Station(E)	4.30	0.45	Damu Nagar Extn	4.43	0.40	3.8	13	14	17	18	15	9	12	10	10	Kandivli Bus Station(E)	25	HOL
	3	3	3	SD	DIN	Kandivli Bus Station(E)	4.30	0.45	Damu Nagar Extn	4.43	0.40	3.8	13	17	18		14	12	12	13	16	Kandivli Bus Station(E)	25	SUN
283	2	2	2	SD	PD	Kandivli Station(W)	6.15	23.00	Santosh Nagar	6.00	22.40	2.0	23	28			13	13	15	15	13	Kandivli Stn.(W)	10	FW
284R	5	3	5	SD	GRD	Borivli Stn(W)	6.10	22.35	Saibaba Nagar	6.25	22.50	9.1	36	46	51	 	7	7	8	9	10	Borivli Bus Stn(W)	20	MS
	3	2	3	SD	GRD	Borivli Stn.(W)	6.10	22.10	Saibaba Nagar	6.28	22.28	9.1	38	44	49		19	15	23	15	17	Borivli Bus Stn(W)	20	SH
285R	1	1	1	MD	PD	Kandivli Station(W)	6.45	22.40	Via Ekta Bhumi	6.30	22.53	5.4		14	17	 	30	36	18	19	18	Kandivli Station(W)	10	FW
286	3	3	3	SD	PD	Kandivli Station(W)	6.15	23.05	Charkop Village	6.00	23.20	4.0	15	18		25	15	13	17	13	17	Kandivli Station(W)	10	MS
	3	3	3	SD	PD	Kandivli Station(W)	6.53	22.55	Charkop Village	6.35	23.12	4.0	16	18	21		18	12	13	15	16	Kandivli Station(W)	10	SH
287	6	5	8	SD	DIN	Kandivli Bus Station(E)	4.50	0.30	E.S.I.S.Hospital/Thakur Village	5.05	0.15	4.5	15	20	22		10	8	8	7	9	Kandivli Bus Station(E)	25	MS
	2	0	0	SD	DIN	Kandivli Bus Station(E)	7.00	9.39	Thakur Cinema	7.15	9.57													
	6	5	6	SD	DIN	Kandivli Bus Station(E)	5.10	0.30	E.S.I.S.Hospital/Thakur Village	5.25	0.10	4.5	15	17	20	22	7	7	9	7	8	Kandivli Bus Station(E)	25	SH
288	6	5	6	SD	DIN	Kandivli Bus Station(E)	5.17	24.00	Kranti Nagar	5.30	23.45	7.1	14	16	18		9	6	7	6	6	Kandivli Bus Station(E)	25	MS&HOL
	6	4	6	SD	DIN	Kandivli Bus Station(E)	5.30	24.00	Kranti Nagar	5.45	23.45	7.1	14	15	18		10	6	5	8	6	Kandivli Bus Station(E)	25	SUN
289R	5	4	5	SD	DIN	Kandivli Bus Station(E)	5.20	23.25	Green Hill(Anita Nagar)	5.33	23.05	7.2	26	34	36	20	10	7	7	9	8	Kandivli Bus Station(E)	25	MS
	4	3	4	SD	DIN	Kandivli Bus Station(E)	5.35	23.35	Green Hill(Anita Nagar)	5.49	23.14	7.2	28	34	36		15	9	12	10	10	Kandivli Bus Station(E)	25	HOL
	3	3	3	SD	DIN	Kandivli Bus Station(E)	5.35	23.35	Green Hill(Anita Nagar)	5.49	23.15	7.2	13	14	17	18	15	12	13	13	13	Kandivli Bus Station(E)	25	SUN
290Ltd	8	6	7	SD	PD	Seepz Bus Station	7.05	22.40	Poisar Depot	6.00	21.00	17.0	60	80	85	105	25	27	36	27	 	Poisar Depot	 --	MS
	6	6	6	SD	PD	Seepz Bus Station	7.15	22.35	Poisar Depot	6.00	21.00	17.0	75	95			28	30	32	32	32	Poisar Depot	 ---	SH
291R	1	0	1	SD	PD	Kandivli Stataion(W)	6.15	13.05	Industrial Estate	6.35	13.00	8.0	50				52	56	 ---	54	52	Kandivli Stn(W)	10	MS&HOL
							16.40	21.30		17.04	22.10													
293	3	2	3	SD	MGT	Borivli Stn(E)	6.15	23.25	Jagardev Compound	6.00	23.05	2.0	13	15	17	20	15	10	16	12	14	Borivli Stn(E)	20	MS&HOL
	3	2	3	SD	MGT	Borivli Stn(E)	7.00	22.30	Jagardev Compound	6.45	22.05	2.0	13	15	 	 	14	9	14	16	10	Borivli Stn(E)	20	SUN
294R	3	3	5	SD	GRD	Borivli Bus Station(W)	6.15	22.45	Shimpoli Telephone Exchange	 	 	10.8	40	46	50	55	22	14	18	12	13	Borivli Bus Station(W)	20	MS
	4	4	5	SD	GRD	Borivli Bus Station(W)	6.35	22.35	Shimpoli Telephone Exchange	 	 	10.8	37	40	45	49	20	10	9	10	13	Borivli Bus Station(W) 	20	SH
295	1	1	1	MD	PD	Kandivli Stn(W)	6.45	21.05	Dattani Gram/Kandivli(W)	7.00	21.20	2.3	15	17	 				32	36		Kandivli Stn(W)	10	MS&HOL
296R	5	4	5	SD	GRD	Shanti Ashram	6.05	21.45	Shanti Ashram Via Mahaveer Ext	6.00	22.15	14.1	50	60	75	85	13	15	19	16	18	Shanti Ashram	25	MS&HOL
	4	3	4	SD	GRD	Shanti Ashram	6.10	21.40	Shanti Ashram Via Mahaveer Ext	6.00	21.36	14.1	50	65	75		13	15	16	17	18	Shanti Ashram	25	SUN
297	8	6	8	SD	MGT	Borivli Station(E)	5.50	0.35	Kokanipada Extn.	5.30	0.15	3.9	30	40	52	 	8	5	7	8	12	Borivli Station(E)	15	MS
	7	5	7	SD	MGT	Borivli Station(E)	5.45	0.35	Kokanipada Extn.	5.30	0.15	3.9	30	43	48		11	9	10	11	13	Borivli Station(E)	15	SH
298	8	5	8	SD	MGT	Borivli Station(E)	4.55	1.10	Rawalpada	4.40	0.46	2.8	13	16	18		9	6	7	5	5	Borivli Station(E)	15	MS
	8	6	8	SD	MGT	Borivli Station(E)	4.55	1.10	Rawalpada	4.40	0.51	2.8	14	15	17		10	6	5	5	5	Borivli Station(E)	15	SH
299	2	2	2	SD	MGT	Borivli Station(E)	6.24	21.45	Jai Maharashtra Nagar	6.15	22.00	2.0	18	20	30		10	11	12	16	17	Jai Maharashtra Nagar	5	FW
300R	4	4	4	SD	DIN	Kandivli Bus Station(E)	5.15	0.05	Sanskriti Apartment Extn	5.30	23.45	6.6	13	15	19		10	8	8	10	10	Kandivli Bus Station(E)	25	MS
	3	3	3	SD	DIN	Kandivli Bus Station(E)	5.15	0.05	Sanskriti Apartment Extn	5.30	23.45	6.6	13	14	16		14	10	11	12	12	Kandivli Bus Station(E)	25	SH
301	8	5	8	SD	MGT	Borivli Station(E)/Kasturba Rd	6.00	23.50	Hanuman Tekdi	5.45	0.04	3.0	30	33	 		8	4	5	7	4	Borivli Station(E)/Kasturba Rd	15	MS
	6	5	6	SD	MGT	Borivli Station(E)/Kasturba Rd	6.32	23.50	Hanuman Tekdi	6.15	0.05	3.0	15	16	17		11	8	7	6	6	Borivli Station(E)/Kasturba Rd	15	HOL
	5	4	5	SD	MGT	Borivli Station(E)/Kasturba Rd	6.32	23.50	Hanuman Tekdi	6.15	24.05		15	16	17		11	8	6	8	6	Borivli Station(E)/Kasturba Rd	15	SUN
302	11	10	11	SD	PR	Prateeksha Nagar Depot 	4.50	23.45	M.P.Chk.(Mulund)	6.15	1.05	25.6	80	90	110	 	13	15	21	18	18	Prateeksha Nagar Depot	 --	MS
	11	9	11	SD	PR	Prateeksha Nagar Depot	4.50	23.45	M.P.Chk.(Mulund)	6.15	1.05	25.6	80	90	105	110	16	15	20	17	18	Prateeksha Nagar Depot	 --	SH
303	12	11	12	SD	DH	Bandra Terminus	6.00	9.50	MHADA Bus Station(Mulund-E)	6.25	11.40	25.3	70	95	100	112	12	13	18	15	18	Bandra Terminus	20	MS
						Bandra Terminus	16.09	19.00	MHADA Bus Station(Mulund-E)	18.05	20.55													
						Kalanagar	5.20	5.40	MHADA Bus Station(Mulund-E)															
						Bandra Terminus	10.05	15.55	Mulund Rly Station(W)	11.50	17.40	21.9		95										
						Bandra Terminus	19.20	22.00	Gavanpada															
						Kalanagar	 	 	Gavanpada	21.07	23.35													
	12	11	12	SD	DH	Bandra Terminus	6.15	19.10	MHADA Bus Station(Mulund-E)	6.35	20.50	25.3	70	90	95	 	15	18	18	17	17	Bandra Terminus	20	SH
						Kalanagar	5.30	5.53	MHADA Bus Station(Mulund-E)	 	 													
						Bandra Terminus	19.26	22.00	Gavanpada															
						Kalanagar			Gavanpada	21.10	22.10													
305	8	8	8	SD	GKD	Ghatkopar Depot	5.25	6.18	Vasantrao Naik Chowk	6.30	7.30	22.2	80	95	105	115	18	23	25	30	30	Ghatkopar Depot	 ---	MF
						Ghatkopar Depot	21.10	 	Vasantrao Naik Chowk	23.00	 													
						Ghatkopar Depot	6.35	20.40	Tardeo Bus Stn.	7.50	22.40	22.9												
						Ghatkopar Depot	11.15	13.46	Com.P.K.Kurne Chowk	12.35	15.10	17.4	 											
	8	8	9	SD	GKD	Ghatkopar Depot	5.25	6.17	Vasantrao Naik Chowk	6.30	7.30	22.2	80	95	100		17	25	23	22	23	Ghatkopar Depot	 ---	SH
						Ghatkopar Depot	21.10	21.30	Vasantrao Naik Chowk	22.45	23.05													
						Ghatkopar Depot	6.35	21.50	Tardeo Bus Stn.	7.50	23.35	22.9												
	8	8	8	SD	GKD	Ghatkopar Depot	6.00	6.18	Vasantrao Naik Chowk	7.10	7.30	22.2	80	95	105	115	18	22	23	25	27	Ghatkopar Depot	 ---	SAT
						Ghatkopar Depot	21.10		Vasantrao Naik Chowk	23.00														
						Ghatkopar Depot	6.35	20.40	Tardeo Bus Stn.	7.50	22.40													
						Ghatkopar Depot	11.15	13.45	Com.P.K.Kurne Chowk	12.35	15.10													
306Ltd	8	7	8	SD	KLD	Santacruz Station(E)	6.40	20.10	Mulund Stn.(W)	6.40	18.25	21.1	62	72	100		17	21	30	30	 	Santacruz Stn.(E)	25	FW
						Kurla Depot 	 ---	 ---	Mulund Stn.(W)	18.40	21.55													
307	8	6	8	SD	MLD	Vaishali Nagar(Mulund)	6.00	0.45	Marol Depot	4.55	23.40	18.9	65	100	105	 	20	25	35	25	25	Marol Depot 	 --	MS
	4	4	5	SD	MLD	Vaishali Nagar(Mulund)	6.00	0.40	Marol Depot	5.00	23.35	18.9	65	78	85	 	35	41	33	36	 	Marol Depot 	 -- 	SUN
	7	7	7	SD	MLD	Vaishali Nagar(Mulund)	6.00	0.40	Marol Depot	4.50	23.35	18.9	70	85	95	105	21	25	28	31	 	Marol Depot 	 --	HOL
308	9	7	9	SD	MJ	Vidyavihar Bus Station	6.15	23.30	Majas Depot	5.10	22.10	16.6	60	95	110		21	22	29	26	24	Majas Depot 	 --	MS
	3	3	3	SD	MJ	Chh.Shivaji Int.Air-Port	8.40	19.16	Agarkar Chowk	9.07	19.50		50	60	 			17	21			Agarkar Chowk	25	
				SD	KLD	Vidyavihar Bus Station	7.30	11.50	Sahara Cargo Complex	8.25	12.45	9.5	50	60			 	 					50	
	12	8	9	SD	MJ	Vidyavihar Bus Station	6.40	23.30	Majas Depot	5.30	22.10	16.6	65	 	85	90	25	23	22	23	24	Majas Depot 	 ----	SUN
	11	8	12	SD	MJ	Vidyavihar Bus Station	6.15	23.30	Majas Depot	5.10	22.10	16.6	62	 	80	90	25	23	22	23	24	Majas Depot 	 ----	HOL
308Ext	3	0	3	SD	KLD	Vidyavihar Bus Station	16.05	22.00	Sahara Cargo Complex	17.10	22.57	9.5	50	60				36	 	43		Vidyavihar Bus Station	50	
309Ltd	8	8	8	SD	GRD	Kurla Station(W)	6.45	22.45	Gorai Depot	5.10	21.05	26.2	105	110			21	24	30	28	28	Gorai Depot 	 ----	MS
	7	8	8	SD	GRD	Kurla Station(W)	6.35	22.30	Gorai Depot	5.10	20.55	26.2	80	97	102		25	28	26	27		Gorai Depot 	 ----	SUN
	7	8	8	SD	GRD	Kurla Station(W)	6.45	22.40	Gorai Depot	5.10	20.55	26.2	105	110			15	31	31	29	25	Gorai Depot 	 ---	HOL
310	21	19	21	DD	DH	Kurla Station(W)	5.10	0.50	Bandra Terminus	5.30	0.20	7.0	25	36	46	51	13	14	4	5	7	Bandra Terminus	20	MF
	21	17	21	DD	DH	Kurla Station(W)	5.10	0.50	Bandra Terminus	5.30	0.20	7.0	25	36	41	46	15	3	4	5	5	Bandra Terminus	20	SAT
	16	16	16	DD	DH	Kurla Station(W)	5.10	1.00	Bandra Terminus	5.35	0.30	7.0	22	24	30		15	4	4	4	5	Bandra Terminus	20	SUN
	16	16	16	DD	DH	Kurla Station(W)	5.10	1.00	Bandra Terminus	5.30	0.30	7.0	25	27	35		20	5	5	5	12	Bandra Terminus	20	HOL
311	4	3	4	DD/SD	KLD	Santacruz Statin(E)	5.10	1.07	Air-India Colony	5.25	1.20	 	40	45	 	 	13	11	15	11	15	Santacruz Station(E)	25	FW
312	11	11	11	SD	PR	Prateeksha Nagar Depot	4.50	22.45	SEEPZ Bus Station	6.05	0.10	21.6	70	100	105	 	13	19	9	8	20	Prateeksha Nagar Depot	 ---	MS
	9	9	10	SD	PR	Prateeksha Nagar Depot	4.50	22.45	SEEPZ Bus Station	6.05	0.10	21.6	70	90	100	 	17	21	21	21	21	Prateeksha Nagar Depot	 ---	SH
313	17	13	17	DD	KLD	Kurla Station(W)	5.15	0.45	Santacruz Station(E)	4.55	0.15	5.3	50	65	75	77	6	4	4	5	5	Santacruz Station(E)	25	MS
	0	0	2	SD		Kurla Station(W)	 	 	Santacruz Station(E)	 	 													
	9	4	12	SD	KLD	Kurla Station(W)	5.15	0.40	Santacruz Station(E)	4.55	0.10	5.3	50	58	66		10	7	6	4	7	Santacruz Station(E)	25	SH
	4	7	7	DD		 																		
	3	2	3	SD	KLD	Kurla Station(W)	6.20	0.15	Air-India Colony	6.45	1.38	 	50	55	 	 	18	18	27	20	20	Kurla Station(W)	35	MS
313Ext	2	2	3	SD	KLD	Kurla Station(W)	6.15	1.15	Air-India Colony	6.40	1.38		50	55				27	27	20	20	Kurla Station(W)	35	SH
314	T	RI	PS	SD	WD	Shravane Yashwante Chowk	8.40		Raja Shivaji Vidyalaya	15.15													 ---	MS
							9.00			16.10														
							15.40																	
315	6	6	6	SD	PR	Prateeksha Nagar Depot	5.40	20.35	Santacruz Station(E)	6.40	21.50	16.4	57	75	80	 	42	52	49	49	45	Prateeksha Nagar Depot	20	MS&HOL
	4	3	4	SD	PR	Prateeksha Nagar Depot	8.00	19.35	Santacruz Station(E)	9.10	20.50	16.4	65	70	 	 	46	46	47	48		Prateeksha Nagar Depot	20	SUN
316	5	4	5	SD	DH	Bandra Terminus	6.40	22.32	Bandra Colony Bus Stn	6.15	22.10	2.6	22	21	25		13	9	8	6	10	Bandra Colony Bus Station	20	MF
	5	3	5	SD	DH	Bandra Terminus	6.40	22.23	Bandra Colony Bus Stn	6.15	22.00		22	21	25		18	11	6	11	12	Bandra Colony Bus Station	20	SAT
	3	3	3	SD	DH	Bandra Terminus	7.24	22.32	Bandra Colony Bus Stn	7.00	22.00	2.6	22	21	25		19	18	18	17	18	Bandra Colony Bus Station	20	SH
317	5	3	5	SD	DH	Bandra Terminus	5.45	23.55	Tata Colony(Bandra)	5.20	0.15	2.4	26	 	 		17	12	21	12	12	G.S.Colony Bandra	20	FW
318	5	3	3	SD	KLD	Kurla Station(W)	8.00	19.45	Santacruz Station(E)	7.35	19.00	7.1	40	42			17	18	29	29	 ---	Santacruz Stn(E)	25	MS
319	7	7	7	SD	MLD	Agarkar Chowk	6.40	23.25	MHADA Colony(Chandivli)	6.05	23.06	7.0	32	35	40	55	11	16	16	18	18	Agarkar Chowk	20	MS&HOL
	6	6	6	SD	MLD	Agarkar Chowk	6.40	23.20	MHADA Colony(Chandivli)	6.05	22.55	7.0	30	35	45	50		14	15	17	 	Agarkar Chowk	20	SUN
320	15	10	15	SD	KLD	Kurla Station(W)	4.55	24.00	Filterpada	4.55	0.30	10.0	30	45	54		10	7	12	8	12	Kurla Station(W)	35	MS
	11	8	13	SD	KLD	Kurla Station(W)	4.55	24.00	Filterpada	4.55	0.30	10.0	30	45	54		10	7	12	8	12	Kurla Station(W)	35	SUN
	10	8	13	SD	KLD	Kurla Station(W)	5.10	24.00	Filterpada	5.00	0.30	10.0	30	47	50		14	10	12	8	13	Kurla Station(W)	35	HOL
321Ltd	8	7	8	SD	BND	Mahim Bus Station	5.15	22.05	Barve Nagar	5.55	22.10	21.8	80	90	95	 	19	21	24	22	25	Mahim Bus Station	10	MF
						Bandra Depot	4.55	22.05	Barve Nagar	22.30	23.45													
	8	7	8	SD	BND	Mahim Bus Station	5.15	22.05	Barve Nagar	5.55	22.20	21.1	80	90	95		18	24	27	29	25	Mahim Bus Station	10	SAT
	7	7	8	SD	BND	Mahim Bus Station	5.15	22.05	Barve Nagar	5.55	22.00	21.8	65	85	90		23	26	20	21	25	Mahim Bus Station	10	SH
						Bandra Depot	4.55		Barve Nagar															
322	4	3	4	SD	KLD	Vidyavihar Bus Station	5.35	20.30	Mahant Road(Parle-E)	5.55	21.25	13.2	40	45	50	60	21	23	26	35	31	Vidyavihar Bus Station	50	FW
						Vidyavihar Bus Station	21.05	21.15	Terminal Building	21.55	23.00	9.4												
323	4	3	4	SD	KLD	Vidyavihar Bus Station	6.50	21.55	Sangharsh Nagar	6.15	22.30	7.4	30	40	50	 	18	25	34	26	23	Vidyavihar Bus Station	50	MS
	3	3	3	SD	KLD	Vidyavihar Bus Station	7.05	22.00	Sangharsh Nagar	6.50	22.35	7.4	30	33	37		 --	23	23	25	23	Vidyavihar Bus Station	50	SUN
	4	3	4	SD	KLD	Vidyavihar Bus Station	7.05	22.00	Sangharsh Nagar	6.50	22.35	7.4	30	33	37		 --	27	23	19	19	Vidyavihar Bus Station	50	HOL
324	6	6	6	SD	WLD	Worli Depot	5.10	21.45	Marol Maroshi Bus Stn.	6.00	23.15	21.1	60	75	80	100	18	21	24	26	30	Worli Depot	 --	MS
	6	5	6	SD	WLD	Worli Depot	5.10	21.50	Marol Maroshi Bus Stn.	6.00	23.15	21.1	55	75	80	85	20	24	26	26	30	Worli Depot	 --	SH
325	8	7	8	SD	GKD	Kurla Station(W)	6.00	23.40	Ghatkopar Station(W) 	5.20	22.50	9.8	35	45	60	65	17	20	20	19	17	Ghatkopar Depot	 ---	MS
	4	4	4	SD	GKD	Kurla Station(W)	6.25	23.35	Ghatkopar Station(W)	5.45	22.45	9.8	37	55	55	60	27	29	29	31	32	Ghatkopar Stn(W)/Rd No.4	15	SH
326	6	6	6	SD	DIN	Kurla Station(W)	7.50	22.24	Shivshahi Prakalp	6.30	20.40	19.6	75	95	102	105	31	38	42	43	 	Dindoshi Bus Station	 ---	MS
	5	5	5	SD	DIN	Kurla Station(W)	7.50	21.50	Shivshahi Prakalp	6.30	20.10	19.6	75	90	95		31	31	37	39	40	Dindoshi Bus Station	 ---	SH
327	5	3	5	SD	DIN	Goregaon Bus Station(E)	6.15	23.30	Shivshahi Prakalp	5.50	23.04	5.5	22	24	27	33	9	10	14	14	18	Goregaon Bus Station(E)	20	MS
	4	3	4	SD	DIN	Goregaon Bus Station(E)	6.24	23.30	Shivshahi Prakalp	6.00	22.59	5.5	23	26	29	33	16	18	20	17	20	Goregaon Bus Station(E)	20	SH
328	5	5	5	SD	OSH	Bamandaya Pada	6.30	22.00	Yari road/Vesave Bus Stn	6.45	21.00	13.9	50	67	60	70	22	21	28	29	29	Yari Road/Vesave	30	MS
	4	4	4	SD	OSH	Bamandaya Pada	7.30	21.50	Yari road/Vesave Bus Stn	8.00	20.55	13.9	42	50	55		 	26	29	29	30	Yari Road/Vesave	30	SH
329	9	8	9	SD	SHD	Shivaji Nagar Bus Station	5.50	21.00	Agarkar Chowk	7.10	22.35	19.9	75	95	105	110	20	26	30	33	32	Shivaji Nagar Bus Station	 ---	MS
	9	10	10	SD	SHD	Shivaji Nagar Bus Station	6.00	21.00	Agarkar Chowk	7.10	22.25	19.9	65	80	85		19	20	17	18	20	Shivaji Nagar Bus Station	 ----	SH
330Ltd	8	6	8	SD	OSH	Kurla Station(W)	6.00	20.50	Seven Bungalow	6.30	21.15	17.1	55	90	95		20	22	23	25	25	Seven Bungalows	20	MS
	6	6	7	SD	OSH	Kurla Station(W)	6.00	21.10	Seven Bungalow	6.30	21.25	17.1	60	90	95		25	32	34	28	30	Seven Bungalows	20	SH
332	10	7	10	DD	KLD	Kurla Station(W)	4.20	1.40	Agarkar Chowk	4.05	1.05	9.8	33	45	65	75	10	9	13	19	14	Kurla Station(W)	35	MS
	18	18	18	DD	MJS	 			Agarkar Chowk			9.8	64	67	69	74	9	9	10	10	10	SEEPZ Bus Station	20	MS
	4	2	4	DD	KLD	Kurla Station(W)	8.15	19.57	Marol Naka	8.50	20.37		60	65	70		23		25	 		Kurla Station(W)	35	MS
	6	6	8	DD	KLD	Kurla Station(W)	4.20	1.40	Agarkar Chowk	4.05	1.06	9.8	45	50	 	 	 --	16	16	13	12	Kurla Station(W)	35	SUN
	15	19	22	SD	MJS	 							28	37	45	50	11	8	7	6	6	SEEPZ Bus Station	20	SUN
	10	9	10	DD	KLD	Kurla Station(W)	4.20	1.40	Agarkar Chowk	4.05	1.05	9.8	 	40	45	50	 	9	11	10	11	Kurla Station(W)	35	HOL
	15	15	18	DD	MJS	 	 	 	 	 	 		30	35	40	50	8	5	5	6	6	SEEPZ Bus Stn.	20	HOL
	10	6	9	SD	MJS								30	35	40	50						SEEPZ Bus Stn.	20	
333	11	9	11	SD	MJS	New Quarters(Sahar)	5.35	0.25	Mahakali Caves	5.15	24.00	7.3	21	45	47	 	8	7	9	9	9	Mahakali Caves	20	MS&HOL
	8	7	9	SD	MJS	New Quarters(Sahar)	6.15	0.25	Mahakali Caves	5.50	0.05	7.3	25	30	33		11	7	10	7	12	Mahakali Caves	20	SUN
334	11	6	11	SD	MLD	Ghatkopar Station(W)	6.10	20.15	Marol Depot	5.40	21.25	8.8	30	47	59	65	11	9	10	11	11	Marol Depot 	 --	MS&HOL
335	7	7	7	SD	MLD	Agarkar Chowk	6.05	24.20	Chandivli Sangharsh Nagar	5.30	24.15	7.5	32	35	40	55	12	14	15	15	14	Agarkar Chowk	20	MS&HOL
	6	6	6	SD	MLD	Agarkar Chowk	6.20	0.30	Chandivli Sangharsh Nagar	6.00	23.45		30	35	40	48	12	14	14	16	17	Agarkar Chowk	20	SUN
336	7	6	7	SD	SD	J.V.P.D.Bus Station	6.10	21.25	Vidyavihar Bus Stn.	6.05	22.40	11.7	66	82	85	90	22	24	29	27	27	J.V.P.D.Bus Station	20	MS
	5	6	6	SD	SD	J.V.P.D.Bus Station	5.50	21.05	Vidyavihar Bus Stn	6.45	22.10	11.7	48	55	60		24	20	22	21	23	J.V.P.D.Bus Station	20	SUN
	5	6	6	SD	SD	J.V.P.D.Bus Station	5.50	21.05	Vidyavihar Bus Stn	6.45	22.10	11.7	55	60	65	60	22	24	26	21	23	J.V.P.D.Bus Station	20	HOL
338	6	4	6	SD	MLD	Agarkar Chowk	6.30	23.25	Sahara Cargo Complex	6.10	23.40	3.2	16	19	30	32	10	8	13	10	10	Agarkar Chowk	20	MS
	5	4	5	SD	MLD	Agarkar Chowk	6.45	23.20	Sahara Cargo Complex	6.25	23.35	3.2	15		23		16	6	9	10	9	Agarkar Chowk	20	HOL
	4	3	4	SD	MLD	Agarkar Chowk	6.45	23.20	Sahara Cargo Complex	6.25	23.35	3.2	15	22	23		16	8	15	11	12	Agarkar Chowk	20	SUN
339	5	5	8	SD	SD	Juhu Bus Station	7.05	21.40	Majas Depot	6.50	20.20	15.2	60	70	75		 	25	31	19	19	Juhu Bus Station	25	MS
	3	3	0	SD	SD	Santacruz Depot	5.25	15.23	Majas Depot	6.15	16.20	15.2	45	55	60		25	29	30	30	 	Santacruz Depot	 --	MS
	4	4	10	SD	SD	Juhu Bus Station	7.25	21.25	Majas Depot	7.20	20.11	15.2	55	65	70		30	20	34	18	17	Juhu Bus Station	25	SH
						Santacruz Depot	 		Majas Depot	20.38	22.30													
	3	4	0	SD	SD	Santacruz Depot	5.45	14.46	Majas Depot	6.30	15.41	15.2	40	55	5		30	30	36	24	24	Santacruz Depot	 ---	
340	20	20	20	SD	MLD	Ghatkopar Station(W)	4.30	1.15	Agarkar Chowk	5.00	1.35	8.8	29	52	60	73	8	6	7	6	7	Agarkar Chowk	20	MS
	17	17	17	SD	MLD	Ghatkopar Station(W)	4.30	1.10	Agarkar Chowk	5.00	1.35	8.8	25	33	43	48	6	7	4	5	5	Agarkar Chowk	20	HOL
	10	11	13	SD	MLD	Ghatkopar Station(W)	4.30	1.05	Agarkar Chowk	5.00	1.35	8.8	25	33	43	48	6	8	9	8	 	Agarkar Chowk	20	SUN
	10	9	10	SD	VKD	Ghatkopar Station(W)	6.15	22.35	Agarkar Chowk	6.40	23.20		33	60	62	72	10	13	12	15	 	Ghatkopar Station Rd.No.4	15	FW
340Ext	T	RI	PS			Agarkar Chowk	6.30	8.28	Barve Nagar	7.00	9.05													MS
341	10	9	10	SD	PR	Antop Hill	5.50	22.20	Goregaon Bus Stn.(E)	6.00	23.10	22.4	65	85	95	 	15	18	14	18	18	Antop Hill	20	MS
	10	11	13	SD	PR	Antop Hill	5.45	22.45	Goregaon Bus Stn(E)	6.00	23.10	22.4	65	80	85	 	20	17	14	19	15	Antop Hill	20	SH
342	1	1	1	MD	DIN	Goregaon Bus Station(E)	6.55	23.30	Kokan Vikas	6.30	23.00	7.2	25	30			52	52	59	62	52	Goregaon Bus Station(E)	20	FW
343	6	5	6	SD	DIN	Goregaon Bus Station(E)	5.47	2.00	Santosh Nagar Extn	5.30	1.40	4.7	17	20	21	27	9	9	9	11	11	Goregaon Bus Station(E)	20	MS
	4	3	4	SD	DIN	Goregaon Bus Station(E)	6.30	22.55	Dadasaheb Phalke Film City	6.50	23.15	6.4	22	24	27		11	13	18	19	16	Goregaon Bus Station(E)	20	
	3	3	3	SD	DIN	Goregaon Bus Station(E)	6.30	22.55	Dadasaheb Phalke Film City	6.50	23.15	6.4	22	24	27		25	17	17	19	17	Goregaon Bus Station(E)	20	HOL
	5	5	8	SD	DIN	Goregaon Bus Station(E)	5.46	2.00	Santosh Nagar Extn	5.30	1.36	4.7	13	20	22		8	9	9	7	7	Goregaon Bus Station(E)	20	
	5	5	7	SD	DIN	Goregaon Bus Station(E)	5.45	2.00	Santosh Nagar Extn	5.30	1.36	4.7	13	20	22		8	7	9	7	7	Goregaon Bus Station(E)	20	SUN
344R	9	7	9	SD	DIN	Goregaon Bus Station(E)	5.15	0.15	N.N.P.Plot No.5(Sankalp Soc.)	5.00	23.50	9.3	13	19	20	24	7	4	5	6	6	Goregaon Bus Station(E)	20	MS
	6	6	7	SD	DIN	Goregaon Bus Station(E)	5.15	0.15	N.N.P.Plot No.5(Sankalp Soc.)	5.00	23.53	9.3	13	20	15	24	8	7	7	7	7	Goregaon Bus Station(E)	20	SUN
	8	6	8	SD	DIN	Goregaon Bus Station(E)	5.15	0.45	N.N.P.Plot No.5(Sankalp Soc.)	5.00	23.50	9.3	13	14	17	24	14	5	7	7	8	Goregaon Bus Station(E)	20	HOL
345	13	9	13	SD	GRD	Santosh Nagar Extn	6.15	21.32	P.Thakre Nagar Bus Station	7.05	22.35	12.9	50	53	68	60	15	9	14	12	12	P.Thakre Nagar Bus Station	10	MS
						Santosh Nagar Extn	20.00	23.35	Gorai Depot	5.15	6.50	14.4												
	8	8	10	SD	GRD	Santosh Nagar Extn	6.30	23.35	P.Thakre Nagar Bus Station	5.40	22.35	12.9	50	60	70		20	13	15	15	14	P.Thakre Nagar Bus Station	10	SH
