Route	Route Alias	From	To	Distance	Stages
8091	SPL-9	AHILYABAI HOLKAR CHK.	AHILYABAI HOLKAR CHK.	3.5	4
5241	524LTD	BORIVLI STN(E)	VASHI SECT.19	44.0	36
2474	247RING	BORIVLI BUS STN(W)	BORIVLI BUS STN(W)	10.8	15
2770	277	KANDIVLI STN.(W)	BORIVLI STN(W)	8.8	13
4130	413	KUNCHI KURVE NGR.	SANTACRUZ STN (E)	2.8	5
4031	403LTD	MHADA CLY.BUS STN.(MULUND-E)	AGARKAR CHK.	21.5	22
3961	396LTD	MULUND-W CHECK NAKA BUS STN.	AGARKAR CHK.	21.3	22
0550	0550	WORLI DEPOT	SHRAWAN YESHWANTE CHK.	7.3	9
0600	60	MAHARANA PRATAP CHK.	KURLA BUS STN (E)	15.4	16
4091	409LTD	MULUND DEPOT	SAHAR CARGO COMPLEX	22.6	25
0560	56	WORLI VILLAGE	VESAVA-YARI RD.BUS STN.	22.3	25
0570	57	KAMLA NEHRU PARK	P.THAKRE UDN.BUS STN.	13.8	14
4220	422	MULUND-W CHECK NAKA BUS STN.	BANDRA BUS STN(W)	29.8	31
6110	611	MALAD STN-E(PODDAR PARK)	DINDOSHI BUS STN.	3.0	4
4460	446	KURLA STN (W)	BAMANDAYA PADA	8.2	9
1100	110	COM.P.K.KURNE CHK.	SANGAM NGR.	7.2	10
2690	269	MADH JETTY	BORIVLI BUS STN(W)	19.1	23
2510	251	ANDHERI STN.(W) (KUMKUM)	VESAVA-YARI RD.BUS STN.	5.6	8
4310	431	KURLA BUS STN (E)	TATA POWER CENTRE(CHEMBUR)	7.4	8
1054	105RING	KAMLA NEHRU PARK	KAMLA NEHRU PARK	13.6	17
4300	430	MAHUL VILLAGE	GHATKOPAR BUS STN./GKD	12.7	14
3591	359LTD	JARIMARI	MALVANI DEPOT/ GAIKWAD NGR.	20.0	18
3720	372	SHIVAJI NGR.TERMINUS	SHIVAJI NGR.DEPOT	2.7	4
4891	489LTD	SHIVAJI NGR.DEPOT	DAHISAR BRIDGE	36.4	31
4210	421	GHATKOPAR BUS STN./GKD	FILTER PADA	10.4	14
4354	435RING	AGARKAR CHK.	AGARKAR CHK.	7.4	9
4050	405	MULUND RLY.STN.(W)	YOGI HILLS (MULUND-W)	3.5	5
4340	434	AGARKAR CHK.	BAMANDAYA PADA	6.4	9
5111	511LTD	MAHARANA PRATAP CHK.(MULUND)	NERUL BUS STN.	35.4	27
5121	512LTD	MULUND-W CHECK NAKA BUS STN.	NERUL BUS STN.	31.4	25
0097	AS-9	DR.SHAMAPRASAD MUKHERJI CHK.	GHATKOPAR STN.(E)-1	27.4	25
4290	429	GHATKOPAR STN.(W)	MILIND NGR.	3.0	4
4617	AS-461	MULUND-W CHECK NAKA BUS STN.	BORIVLI BUS STN(W)	29.1	28
5131	513LTD	GAWANPADA FIRE BRIGADE(MULUND-E)	VASHI RAILWAY STN.	22.5	18
3160	316	BANDRA RLY.TERMINUS	BANDRA CLY.BUS STN	2.6	5
2884	288RING	KANDIVLI BUS STN.( E )	KANDIVLI BUS STN.( E )	7.1	9
0047	AS-4	BACKBAY DEPOT	OSHIWARA DEPOT	34.6	34
0010	1	R.C.CHURCH	BND RECLAMATION BUS STN.	21.5	25
3340	334	GHATKOPAR STN.(W)	MAROL DEPOT	8.8	11
3551	355LTD	TROMBAY	VESAVA-YARI RD.BUS STN.	29.1	29
4227	AS-422	MULUND-W CHECK NAKA BUS STN.	AGARKAR CHK.	19.1	20
4401	440LTD	WADALA DEPOT	BORIVLI STN(E)	28.4	25
3444	344RING	GOREGAON STN(E)	GOREGAON STN(E)	9.3	12
2210	221	ANDHERI STN.(W) (KUMKUM)	VESAVA-YARI RD.BUS STN.	6.0	8
0191	19LTD	MANTRALAYA	SHIVAJI NGR.DEPOT	26.3	28
6040	604	KANJUR MARG STN.(W)	BHANDUP STN.(W)	3.6	4
6074	607RING	BHANDUP STN.(W)	BHANDUP STN.(W)	5.5	6
6034	603RING	AMRUT NGR.	AMRUT NGR.	20.2	19
2970	297	BORIVLI STN(E)	KOKANIPADA EXTN.	3.9	6
2684	268RING	ANDHERI BUS STN.(W)	ANDHERI BUS STN.(W)	9.6	11
3660	366	KURLA BUS STN (E)	SHIVAJI NGR.TERMINUS	6.6	7
0590	59	VEER KOTWAL UDN. (PLAZA)	KURLA BUS STN (E)	10.9	12
0211	21LTD	R.C.CHURCH	TROMBAY	29.2	32
3260	326	KURLA STN (W)	SHIVSHAI PRAKALP/MANTRI PARK	18.9	20
3270	327	GOREGAON STN(E)	SHIVSHAI PRAKALP/MANTRI PARK	5.5	8
3690	369	KURLA BUS STN (E)	VASHINAKA M.M.R.D.A.CLY.	5.0	6
3770	377	KURLA BUS STN (E)	S.R.A.CLY.,MANKHURD(LALLUBHAI COM	7.1	8
1810	181	ANTOP HILL EXTN.	SEEPZ BUS STN.	22.2	22
4510	451	GOREGAON STN(E)	ADARSH NGR.	5.0	6
4120	412	MULUND RLY.STN.(W)	GHATI PADA	3.5	4
1850	185	KANNAMWAR NGR.NO 2	AGARKAR CHK.	16.3	16
2290	229	SANTACRUZ DEPOT	SHANTI ASHRAM	23.3	26
