trip_id,start_time,end_time,headway_secs
3200_HOL_UP,11:00:00,17:00:00,720
3200_HOL_UP,17:00:00,20:00:00,480
3200_HOL_UP,20:00:00,00:00:00,780
3200_HOL_DOWN,05:00:00,07:00:00,840
3200_HOL_DOWN,07:00:00,11:00:00,600
3200_HOL_DOWN,11:00:00,17:00:00,720
3200_HOL_DOWN,17:00:00,20:00:00,480
3200_HOL_DOWN,20:00:00,00:30:00,780
3200_MS_UP,04:55:00,07:00:00,600
3200_MS_UP,07:00:00,11:00:00,420
3200_MS_UP,11:00:00,17:00:00,720
3200_MS_UP,17:00:00,20:00:00,480
3200_MS_UP,20:00:00,00:00:00,720
3200_MS_DOWN,04:55:00,07:00:00,600
3200_MS_DOWN,07:00:00,11:00:00,420
3200_MS_DOWN,11:00:00,17:00:00,720
3200_MS_DOWN,17:00:00,20:00:00,480
3200_MS_DOWN,20:00:00,00:30:00,720
0161_AD_UP,06:30:00,07:00:00,1440
0161_AD_UP,07:00:00,11:00:00,1440
0161_AD_UP,11:00:00,17:00:00,1440
0161_AD_UP,17:00:00,20:00:00,1620
0161_AD_UP,20:00:00,21:20:00,1680
0161_AD_DOWN,06:30:00,07:00:00,1440
0161_AD_DOWN,07:00:00,11:00:00,1440
0161_AD_DOWN,11:00:00,17:00:00,1440
0161_AD_DOWN,17:00:00,20:00:00,1620
0161_AD_DOWN,20:00:00,22:45:00,1680
1230_SUN_UP,06:20:00,07:00:00,1440
1230_SUN_UP,07:00:00,11:00:00,1320
1230_SUN_UP,11:00:00,17:00:00,1080
1230_SUN_UP,17:00:00,20:00:00,900
1230_SUN_UP,20:00:00,23:10:00,960
1230_SUN_DOWN,05:45:00,07:00:00,1440
1230_SUN_DOWN,07:00:00,11:00:00,1320
1230_SUN_DOWN,11:00:00,17:00:00,1080
1230_SUN_DOWN,17:00:00,20:00:00,900
1230_SUN_DOWN,20:00:00,22:30:00,960
1230_HOL_UP,06:20:00,07:00:00,1440
1230_HOL_UP,07:00:00,11:00:00,900
1230_HOL_UP,11:00:00,17:00:00,900
1230_HOL_UP,17:00:00,20:00:00,960
1230_HOL_UP,20:00:00,23:10:00,1080
1230_HOL_DOWN,05:45:00,07:00:00,1440
1230_HOL_DOWN,07:00:00,11:00:00,900
1230_HOL_DOWN,11:00:00,17:00:00,900
1230_HOL_DOWN,17:00:00,20:00:00,960
1230_HOL_DOWN,20:00:00,22:30:00,1080
1230_MS_UP,06:20:00,07:00:00,1200
1230_MS_UP,07:00:00,11:00:00,780
1230_MS_UP,11:00:00,17:00:00,900
1230_MS_UP,17:00:00,20:00:00,840
1230_MS_UP,20:00:00,23:10:00,1500
1230_MS_DOWN,05:40:00,07:00:00,1200
1230_MS_DOWN,07:00:00,11:00:00,780
1230_MS_DOWN,11:00:00,17:00:00,900
1230_MS_DOWN,17:00:00,20:00:00,840
1230_MS_DOWN,20:00:00,22:30:00,1500
0221_SH_UP,07:05:00,07:00:00,1320
0221_SH_UP,07:00:00,11:00:00,1560
0221_SH_UP,11:00:00,17:00:00,1680
0221_SH_DOWN,06:00:00,07:00:00,1320
0221_SH_DOWN,07:00:00,11:00:00,1560
0221_SH_DOWN,11:00:00,17:00:00,1680
0221_MS_UP,06:50:00,07:00:00,1140
0221_MS_UP,07:00:00,11:00:00,1680
0221_MS_UP,11:00:00,17:00:00,1800
0221_MS_DOWN,05:45:00,07:00:00,1140
0221_MS_DOWN,07:00:00,11:00:00,1680
0221_MS_DOWN,11:00:00,17:00:00,1800
0221_SH_UP,06:00:00,07:00:00,1320
0221_SH_UP,07:00:00,11:00:00,1560
